shop_date,offer_id,dev_name,regular_price,final_price,discount_vbucks,discount_pct,is_discounted,in_date,out_date,giftable,refundable,sort_priority,layout_id,layout_name,layout_rank,layout_display_type,tile_size,offer_tag,is_bundle,bundle_name,items_in_offer,item_kind,item_id,item_name,item_type,item_rarity,item_series,item_set,item_intro_chapter,item_intro_season,item_added
2026-09-15,v2:/6dead3b75b13d05719e386d7a873a1f3aedcc18522c26995ecd2293841c289ef,[VIRTUAL]1 x Get Low for 500 MtxCurrency,500,500,0,0.0,0,2026-09-11T00:00:00Z,2026-09-17T23:59:59.999Z,1,0,-1,JT091426,Jam Tracks,182,tileGrid,Size_1_x_1,,0,,1,track,sid_placeholder_193,Get Low,,,,,,,2024-04-24T03:56:26Z
2026-09-15,v2:/6263922db3dd19cc2160f7607ead6b7b4f71e10a44e02355066be3d127a5f439,[VIRTUAL]1 x TBD (SID_Placeholder_779) for 500 MtxCurrency,500,500,0,0.0,0,2026-09-01T00:00:00Z,2026-09-30T23:59:59.999Z,1,0,-50,JT091426,Jam Tracks,182,expandableList,Size_1_x_1,,0,,1,track,sid_placeholder_779,back to friends,,,,,,,2026-04-16T08:01:05Z
2026-09-15,v2:/111620e6a43ace41d161c315888c36d93d14651eb7271a992b7cc116e19406a2,[VIRTUAL]1 x Lux Æterna for 500 MtxCurrency,500,500,0,0.0,0,2026-09-01T00:00:00Z,2026-09-30T23:59:59.999Z,1,0,-86,JT091426,Jam Tracks,182,expandableList,Size_1_x_1,,0,,1,track,sid_placeholder_236,Lux Æterna,,,,,,,2024-06-20T00:00:00Z
2026-09-15,v2:/9f600521ef39d25c8ba40f588f14a7c6b14a7c33e87cdb966d08b8e360388cea,"[VIRTUAL]1 x Meowtooth, 1 x Test Your Strength, 1 x Peelverine Plush, 1 x Swordfish Saber, 1 x Meowtooth's Stripes, 1 x Pouncing Into Action for -1 MtxCurrency",3400,2300,1100,0.3235,1,2026-09-15T00:00:00Z,2026-09-19T23:59:59.999Z,1,0,-2,WolverineShop,Marvel,197,tileGrid,Size_2_x_1,,1,Meowtooth Bundle,6,br,Character_CattleJar,Meowtooth,outfit,marvel,MARVEL SERIES,Meowtooth,5,4,2024-09-05T14:25:10Z
2026-09-15,v2:/9f600521ef39d25c8ba40f588f14a7c6b14a7c33e87cdb966d08b8e360388cea,"[VIRTUAL]1 x Meowtooth, 1 x Test Your Strength, 1 x Peelverine Plush, 1 x Swordfish Saber, 1 x Meowtooth's Stripes, 1 x Pouncing Into Action for -1 MtxCurrency",3400,2300,1100,0.3235,1,2026-09-15T00:00:00Z,2026-09-19T23:59:59.999Z,1,0,-2,WolverineShop,Marvel,197,tileGrid,Size_2_x_1,,1,Meowtooth Bundle,6,br,EID_CattleJar,Test Your Strength,emote,marvel,MARVEL SERIES,Meowtooth,5,4,2024-09-05T14:25:10Z
2026-09-15,v2:/9f600521ef39d25c8ba40f588f14a7c6b14a7c33e87cdb966d08b8e360388cea,"[VIRTUAL]1 x Meowtooth, 1 x Test Your Strength, 1 x Peelverine Plush, 1 x Swordfish Saber, 1 x Meowtooth's Stripes, 1 x Pouncing Into Action for -1 MtxCurrency",3400,2300,1100,0.3235,1,2026-09-15T00:00:00Z,2026-09-19T23:59:59.999Z,1,0,-2,WolverineShop,Marvel,197,tileGrid,Size_2_x_1,,1,Meowtooth Bundle,6,br,Backpack_CattleJar,Peelverine Plush,backpack,marvel,MARVEL SERIES,Meowtooth,5,4,2024-08-17T06:38:59Z
2026-09-15,v2:/9f600521ef39d25c8ba40f588f14a7c6b14a7c33e87cdb966d08b8e360388cea,"[VIRTUAL]1 x Meowtooth, 1 x Test Your Strength, 1 x Peelverine Plush, 1 x Swordfish Saber, 1 x Meowtooth's Stripes, 1 x Pouncing Into Action for -1 MtxCurrency",3400,2300,1100,0.3235,1,2026-09-15T00:00:00Z,2026-09-19T23:59:59.999Z,1,0,-2,WolverineShop,Marvel,197,tileGrid,Size_2_x_1,,1,Meowtooth Bundle,6,br,Pickaxe_CattleJar,Swordfish Saber,pickaxe,marvel,MARVEL SERIES,Meowtooth,5,4,2024-09-05T14:25:10Z
2026-09-15,v2:/9f600521ef39d25c8ba40f588f14a7c6b14a7c33e87cdb966d08b8e360388cea,"[VIRTUAL]1 x Meowtooth, 1 x Test Your Strength, 1 x Peelverine Plush, 1 x Swordfish Saber, 1 x Meowtooth's Stripes, 1 x Pouncing Into Action for -1 MtxCurrency",3400,2300,1100,0.3235,1,2026-09-15T00:00:00Z,2026-09-19T23:59:59.999Z,1,0,-2,WolverineShop,Marvel,197,tileGrid,Size_2_x_1,,1,Meowtooth Bundle,6,br,Wrap_CattleJar,Meowtooth's Stripes,wrap,marvel,MARVEL SERIES,Meowtooth,5,4,2024-09-05T14:25:10Z
2026-09-15,v2:/9f600521ef39d25c8ba40f588f14a7c6b14a7c33e87cdb966d08b8e360388cea,"[VIRTUAL]1 x Meowtooth, 1 x Test Your Strength, 1 x Peelverine Plush, 1 x Swordfish Saber, 1 x Meowtooth's Stripes, 1 x Pouncing Into Action for -1 MtxCurrency",3400,2300,1100,0.3235,1,2026-09-15T00:00:00Z,2026-09-19T23:59:59.999Z,1,0,-2,WolverineShop,Marvel,197,tileGrid,Size_2_x_1,,1,Meowtooth Bundle,6,br,LoadingScreen_CattleJar,Pouncing Into Action,loadingscreen,marvel,MARVEL SERIES,Meowtooth,5,4,2024-09-04T14:57:46Z
2026-09-15,v2:/8f2a78cbf81b3245e4827ab38bf23ccfdad1b9f3cf9a4017431098518ad16fe2,[VIRTUAL]1 x Heist Duffel for 400 MtxCurrency,400,400,0,0.0,0,2026-09-13T00:00:00Z,2026-09-15T23:59:59.999Z,1,0,-2,TypicalGamerIcons,Typical Gamer,181,tileGrid,Size_2_x_1,,0,,1,br,Backpack_QuarterClasp,Heist Duffel,backpack,icon,Icon Series,Typical Gamer,7,2,2026-05-24T21:01:00Z
2026-09-15,v2:/73235e9b73cccbf8d9b36884242040bc6125f956643b0f305e68712f6ba9beba,"[VIRTUAL]1 x Mega Man X, 1 x Buster Cannon Blades, 1 x E-Tank Power Pack for -1 MtxCurrency",1800,1800,0,0.0,0,2026-09-11T00:00:00Z,2026-09-20T23:59:59.999Z,1,0,-2,Megaman,Mega Man,193,tileGrid,Size_2_x_1,,0,,3,br,Character_DuneBriefShift,Mega Man X,outfit,gaminglegends,Gaming Legends Series,Mega Man,7,4,2026-09-07T20:23:20Z
2026-09-15,v2:/73235e9b73cccbf8d9b36884242040bc6125f956643b0f305e68712f6ba9beba,"[VIRTUAL]1 x Mega Man X, 1 x Buster Cannon Blades, 1 x E-Tank Power Pack for -1 MtxCurrency",1800,1800,0,0.0,0,2026-09-11T00:00:00Z,2026-09-20T23:59:59.999Z,1,0,-2,Megaman,Mega Man,193,tileGrid,Size_2_x_1,,0,,3,br,Pickaxe_DuneBriefShift,Buster Cannon Blades,pickaxe,gaminglegends,Gaming Legends Series,Mega Man,7,4,2026-09-07T20:23:20Z
2026-09-15,v2:/73235e9b73cccbf8d9b36884242040bc6125f956643b0f305e68712f6ba9beba,"[VIRTUAL]1 x Mega Man X, 1 x Buster Cannon Blades, 1 x E-Tank Power Pack for -1 MtxCurrency",1800,1800,0,0.0,0,2026-09-11T00:00:00Z,2026-09-20T23:59:59.999Z,1,0,-2,Megaman,Mega Man,193,tileGrid,Size_2_x_1,,0,,3,br,Backpack_DuneBriefShift,E-Tank Power Pack,backpack,gaminglegends,Gaming Legends Series,Mega Man,7,4,2026-09-07T20:23:20Z
2026-09-15,v2:/c28214d104e88c062e7c46a14b331c709c58f9994ebab9adeae7eeb25f640eba,[VIRTUAL]1 x Bolt for 800 MtxCurrency,800,800,0,0.0,0,2026-09-15T00:00:00Z,2026-09-21T23:59:59.999Z,1,0,-6,NS091526,No Sweat,192,tileGrid,Size_1_x_1,,0,,1,br,CID_431_Athena_Commando_F_StormPilot,Bolt,outfit,uncommon,,,1,9,2019-11-20T12:49:58Z
2026-09-15,v2:/ffc228c761448e51f0c18d10e8d09c101657389224a486d6a588f968f2f651d2,"[VIRTUAL]1 x Wolverine's Axe, 1 x Wolverine's Axe, 1 x Wolverine's Axe for 1000 MtxCurrency",1000,1000,0,0.0,0,2026-09-15T00:00:00Z,2026-09-19T23:59:59.999Z,1,0,-4,WolverineShop,Marvel,197,tileGrid,Size_1_x_1,,0,,3,br,Backpack_OliveStomp_Guitar,Wolverine's Axe,backpack,marvel,MARVEL SERIES,Deadpool & Wolverine,,,2025-03-10T00:00:00Z
2026-09-15,v2:/ffc228c761448e51f0c18d10e8d09c101657389224a486d6a588f968f2f651d2,"[VIRTUAL]1 x Wolverine's Axe, 1 x Wolverine's Axe, 1 x Wolverine's Axe for 1000 MtxCurrency",1000,1000,0,0.0,0,2026-09-15T00:00:00Z,2026-09-19T23:59:59.999Z,1,0,-4,WolverineShop,Marvel,197,tileGrid,Size_1_x_1,,0,,3,br,Pickaxe_OliveStomp_Guitar,Wolverine's Axe,pickaxe,marvel,MARVEL SERIES,Deadpool & Wolverine,,,2025-03-10T00:00:00Z
2026-09-15,v2:/ffc228c761448e51f0c18d10e8d09c101657389224a486d6a588f968f2f651d2,"[VIRTUAL]1 x Wolverine's Axe, 1 x Wolverine's Axe, 1 x Wolverine's Axe for 1000 MtxCurrency",1000,1000,0,0.0,0,2026-09-15T00:00:00Z,2026-09-19T23:59:59.999Z,1,0,-4,WolverineShop,Marvel,197,tileGrid,Size_1_x_1,,0,,3,instrument,Sparks_Guitar_OliveStomp,Wolverine's Axe,guitar,marvel,MARVEL SERIES,,,,2024-07-26T15:47:11Z
2026-09-15,v2:/96cda2c3abf7827f494dbb054ba050f6805e3936d4200d375449b57e76dbb9a5,[VIRTUAL]1 x Power Bow for 500 MtxCurrency,500,500,0,0.0,0,2026-09-12T00:00:00Z,2026-09-15T23:59:59.999Z,1,0,-3,Rangers,Power Rangers,187,tileGrid,Size_1_x_1,,0,,1,br,Pickaxe_FumeFleeceJig,Power Bow,pickaxe,rare,,Mighty Morphin,6,5,2025-08-07T13:36:11Z
2026-09-15,v2:/7d99e873937a1ac1989b6f8ad199eefe3bd8b38bf6021d155e388bb2a5fe5dde,"[VIRTUAL]1 x X-23, 1 x Clone Pod for -1 MtxCurrency",1500,1500,0,0.0,0,2026-09-15T00:00:00Z,2026-09-19T23:59:59.999Z,1,0,-2,WolverineShop,Marvel,197,tileGrid,Size_1_x_1,,0,,2,br,Character_DarkAzalea,X-23,outfit,marvel,MARVEL SERIES,X-23,3,4,2022-10-08T17:05:51Z
2026-09-15,v2:/7d99e873937a1ac1989b6f8ad199eefe3bd8b38bf6021d155e388bb2a5fe5dde,"[VIRTUAL]1 x X-23, 1 x Clone Pod for -1 MtxCurrency",1500,1500,0,0.0,0,2026-09-15T00:00:00Z,2026-09-19T23:59:59.999Z,1,0,-2,WolverineShop,Marvel,197,tileGrid,Size_1_x_1,,0,,2,br,Backpack_DarkAzalea,Clone Pod,backpack,marvel,MARVEL SERIES,X-23,3,4,2022-10-08T17:05:51Z
